Oficina;Unidad;Organismo;Raiz;Nivel Administracion;Comunidad;Provincia;Fecha ActivaciÃ³n
O00003413 - CORREOS LA MOJONERA - E;EA0024344 - CORREOS LA MOJONERA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003414 - CORREOS MACAEL - E;EA0024505 - CORREOS MACAEL;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003415 - CORREOS MOJACAR PLAYA - E;EA0024692 - CORREOS MOJACAR PLAYA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003416 - CORREOS TABERNAS - E;EA0025295 - CORREOS TABERNAS;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003417 - CORREOS TIJOLA - E;EA0025340 - CORREOS TIJOLA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003418 - CORREOS VELEZ-RUBIO - E;EA0025480 - CORREOS VELEZ-RUBIO;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003419 - CORREOS VERA - E;EA0025483 - CORREOS VERA;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003420 - CORREOS VIATOR - E;EA0025487 - CORREOS VIATOR;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003421 - CORREOS VICAR - E;EA0025489 - CORREOS VICAR;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003427 - CORREOS SORBAS - E;EA0025285 - CORREOS SORBAS;EA0023306 - Sociedad Estatal de Participaciones Industriales;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Almería;7/10/13
O00003641 - OFICINA DE REGISTRO DE LA AUTORIDAD PORTUARIA DE ALMERÍA - E/R;EA0001297 - AUTORIDAD PORTUARIA DE ALMERÍA;EA0001277 - Puertos del Estado;E05229701 - Ministerio de Transportes y Movilidad Sostenible;Administración del Estado;Andalucía;Almería;17/10/19
O00005030 - REGISTRO DE LA DELEGACIÓN PROVINCIAL DEL INE EN ALMERÍA - E/R;EA0052250 - OFICINA DEL CENSO ELECTORAL DE LA DELEGACION PROVINCIAL DEL INE DE ALMERÍA;EA0042823 - Instituto Nacional de Estadística;E05234801 - Ministerio de Economía, Comercio y Empresa;Administración del Estado;Andalucía;Almería;5/6/17
O00005030 - REGISTRO DE LA DELEGACIÓN PROVINCIAL DEL INE EN ALMERÍA - E/R;EA0042827 - DELEGACION PROVINCIAL DEL INE DE ALMERIA;EA0042823 - Instituto Nacional de Estadística;E05234801 - Ministerio de Economía, Comercio y Empresa;Administración del Estado;Andalucía;Almería;5/6/17
O00005032 - REGISTRO DE LA DIRECCIÓN PROVINCIAL DEL INSS DE ALMERÍA - E/R;EA0042143 - DIRECCIÓN PROVINCIAL DEL INSS DE ALMERIA;EA0042131 - Instituto Nacional de la Seguridad Social;E05072501 - Ministerio de Inclusión, Seguridad Social y Migraciones;Administración del Estado;Andalucía;Almería;19/6/19
O00005069 - REGISTRO AUXILIAR DE LA DIRECCIÓN PROVINCIAL DE COMERCIO EN ALMERÍA - E/R;EA0038937 - DIRECCIÓN PROVINCIAL DE COMERCIO DE ALMERÍA;E05234801 - Ministerio de Economía, Comercio y Empresa;E05234801 - Ministerio de Economía, Comercio y Empresa;Administración del Estado;Andalucía;Almería;22/1/18
O00005070 - REGISTRO AUXILIAR DE LA DIRECCIÓN PROVINCIAL DEL SEPE DE ALMERÍA - E/R;EA0041526 - DIRECCION PROVINCIAL DEL SEPE DE ALMERIA SUBDIRECCIÓN DE GESTIÓN ECONÓMICA;EA0041513 - Servicio Publico de Empleo Estatal;E05066501 - Ministerio de Trabajo y Economía Social;Administración del Estado;Andalucía;Almería;8/3/17
O00005070 - REGISTRO AUXILIAR DE LA DIRECCIÓN PROVINCIAL DEL SEPE DE ALMERÍA - E/R;EA0041527 - DIRECCION PROVINCIAL DEL SEPE DE ALMERIA SUBDIRECCIÓN DE PRESTACIONES;EA0041513 - Servicio Publico de Empleo Estatal;E05066501 - Ministerio de Trabajo y Economía Social;Administración del Estado;Andalucía;Almería;8/3/17
O00005070 - REGISTRO AUXILIAR DE LA DIRECCIÓN PROVINCIAL DEL SEPE DE ALMERÍA - E/R;EA0041525 - DIRECCION PROVINCIAL DEL SEPE DE ALMERIA;EA0041513 - Servicio Publico de Empleo Estatal;E05066501 - Ministerio de Trabajo y Economía Social;Administración del Estado;Andalucía;Almería;8/3/17
O00005079 - OFICINA DE REGISTRO DE LA UNIDAD DE CARRETERAS EN ALMERÍA - E/R;EA0045045 - UNIDAD DE CARRETERAS DEL ESTADO EN ALMERÍA;E05229701 - Ministerio de Transportes y Movilidad Sostenible;E05229701 - Ministerio de Transportes y Movilidad Sostenible;Administración del Estado;Andalucía;Almería;8/8/18
O00005089 - REGISTRO AUXILIAR DEL SERVICIO PROVINCIAL DE COSTAS EN ALMERÍA - E/R;EA0043355 - SERVICIO PROVINCIAL DE COSTAS ALMERIA;E05068001 - Ministerio para la Transición Ecológica y el Reto Demográfico;E05068001 - Ministerio para la Transición Ecológica y el Reto Demográfico;Administración del Estado;Andalucía;Almería;5/2/15
O00005093 - REGISTRO AUXILIAR DEL SERVICIO PROVINCIAL DE MUFACE EN ALMERÍA - E/R;EA0040063 - SERVICIO PROVINCIAL DE MUFACE DE ALMERIA;EA0040021 - Mutualidad General de Funcionarios Civiles del Estado (MUFACE);E05251701 - Ministerio para la Transformación Digital y de la Función Pública;Administración del Estado;Andalucía;Almería;21/6/16
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040195 - SUBDELEGACIÓN DEL GOBIERNO EN ALMERIA - DEPENDENCIA DEL AREA DE SANIDAD Y POLITICA SOCIAL;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040194 - SUBDELEGACIÓN DEL GOBIERNO EN ALMERIA - DEPENDENCIA DEL AREA AGRICULTURA Y PESCA;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040193 - OFICINA DE EXTRANJERIA EN ALMERIA;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040197 - SUBDELEGACIÓN DEL GOBIERNO EN ALMERIA - S.GRAL.;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040196 - SUBDELEGACIÓN DEL GOBIERNO EN ALMERIA - DEPENDENCIA DEL AREA INDUSTRIA Y ENERGIA;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040192 - SUBDELEGACIÓN DEL GOBIERNO EN ALMERIA - DEPENDENCIA  DEL AREA DE TRABAJO E INMIGRACION;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00006373 - REG. GRAL. DE LA SUBDEL.GOB. EN ALMERÍA - E/R;EA0040191 - SUBDELEGACIÓN DEL GOBIERNO EN ALMERIA  - SUBDELEGACIÓN;E05232701 - Ministerio de Política Territorial y Memoria Democrática;E05232701 - Ministerio de Política Territorial y Memoria Democrática;Administración del Estado;Andalucía;Almería;19/12/13
O00009776 - REGISTRO DE LA UAP DEL FOGASA DE ALMERÍA - E/R;EA0041452 - UNIDAD ADMINISTRATIVA DEL FOGASA DE ALMERIA;EA0041447 - Fondo de Garantia Salarial;E05066501 - Ministerio de Trabajo y Economía Social;Administración del Estado;Andalucía;Almería;30/10/15
O00010215 - REGISTRO AUXILIAR JEFATURA PROVINCIAL DE TRÁFICO DE ALMERÍA - E/R;E03099501 - JEFATURA PROVINCIAL DE TRÁFICO DE ALMERÍA;E00130201 - Jefatura Central de Tráfico;E00003801 - Ministerio del Interior;Administración del Estado;Andalucía;Almería;2/3/16
O00015810 - REGISTRO DE LA DIRECCIÓN PROVINCIAL DE LA TGSS DE ALMERÍA - E/R;EA0042304 - DIRECCIÓN PROVINCIAL DE LA TGSS DE ALMERÍA;EA0042298 - Tesoreria General de la Seguridad Social;E05072501 - Ministerio de Inclusión, Seguridad Social y Migraciones;Administración del Estado;Andalucía;Almería;16/10/19
O00015840 - REGISTRO DE LA DIRECCIÓN PROVINCIAL DEL ISM DE ALMERÍA - E/R;EA0042207 - DIRECCIÓN PROVINCIAL DEL ISM DE ALMERÍA;EA0042194 - Instituto Social de la Marina ;E05072501 - Ministerio de Inclusión, Seguridad Social y Migraciones;Administración del Estado;Andalucía;Almería;16/10/19
O00036470 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 4 - E/R;EA0049233 - REGISTRO DE LA PROPIEDAD DE ALMERIA 4;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;26/10/22
O00036570 - REGISTRO DE LA PROPIEDAD DE ROQUETAS DE MAR 1 - E/R;EA0049330 - REGISTRO DE LA PROPIEDAD DE ROQUETAS DE MAR 1;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;26/10/22
O00036650 - REGISTRO DE LA PROPIEDAD DE EL EJIDO 2 - E/R;EA0049393 - REGISTRO DE LA PROPIEDAD DE EL EJIDO 2;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;2/11/22
O00036768 - REGISTRO DE LA PROPIEDAD DE ADRA - E/R;EA0049571 - REGISTRO DE LA PROPIEDAD DE ADRA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;10/11/22
O00036808 - REGISTRO DE LA PROPIEDAD DE ALMERIA 1 - E/R;EA0049614 - REGISTRO DE LA PROPIEDAD DE ALMERIA 1;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;10/11/22
O00036809 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 2 - E/R;EA0049615 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 2;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;10/11/22
O00036810 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 3 - E/R;EA0049616 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 3;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;10/11/22
O00036811 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 5 - E/R;EA0049617 - REGISTRO DE LA PROPIEDAD DE ALMERÍA 5;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;10/11/22
O00037001 - REGISTRO DE LA PROPIEDAD DE BERJA - E/R;EA0049910 - REGISTRO DE LA PROPIEDAD DE BERJA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;16/11/22
O00037104 - REGISTRO DE LA PROPIEDAD DE VERA - E/R;EA0050006 - REGISTRO DE LA PROPIEDAD DE VERA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;23/11/22
O00037111 - REGISTRO DE LA PROPIEDAD DE VÉLEZ-RUBIO - E/R;EA0050013 - REGISTRO DE LA PROPIEDAD DE VÉLEZ-RUBIO;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;23/11/22
O00037391 - REGISTRO DE LA PROPIEDAD DE CANJAYAR - E/R;EA0050297 - REGISTRO DE LA PROPIEDAD DE CANJAYAR;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;30/11/22
O00037418 - REGISTRO DE LA PROPIEDAD DE ROQUETAS DE MAR 3 - E/R;EA0050324 - REGISTRO DE LA PROPIEDAD DE ROQUETAS DE MAR 3;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;1/12/22
O00037420 - REGISTRO DE LA PROPIEDAD DE ROQUETAS DE MAR 2 - E/R;EA0050326 - REGISTRO DE LA PROPIEDAD DE ROQUETAS DE MAR 2;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;1/12/22
O00037444 - REGISTRO DE LA PROPIEDAD DE PURCHENA - E/R;EA0050347 - REGISTRO DE LA PROPIEDAD DE PURCHENA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;1/12/22
O00037717 - REGISTRO DE LA PROPIEDAD DE MOJÁCAR - E/R;EA0050601 - REGISTRO DE LA PROPIEDAD DE MOJÁCAR;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;21/12/22
O00037732 - REGISTRO DE LA PROPIEDAD DE CUEVAS DEL ALMANZORA - E/R;EA0050617 - REGISTRO DE LA PROPIEDAD DE CUEVAS DEL ALMANZORA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;21/12/22
O00037907 - REGISTRO DE LA PROPIEDAD DE HUÉRCAL-OVERA - E/R;EA0050789 - REGISTRO DE LA PROPIEDAD DE HUÉRCAL-OVERA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;19/1/23
O00037947 - REGISTRO DE LA PROPIEDAD DE GÉRGAL - E/R;EA0050830 - REGISTRO DE LA PROPIEDAD DE GÉRGAL;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;25/1/23
O00037984 - REGISTRO DE LA PROPIEDAD DE EJIDO 1 - E/R;EA0050907 - REGISTRO DE LA PROPIEDAD DE EJIDO 1;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;26/1/23
O00038885 - REGISTRO MERCANTIL DE ALMERIA - E/R;EA0051368 - REGISTRO MERCANTIL DE ALMERIA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;8/3/23
O00041306 - REGISTRO BIENES MUEBLES DE ALMERÍA - E/R;EA0053109 - REGISTRO BIENES MUEBLES DE ALMERÍA;EA0046427 - Colegio de Registradores de la Propiedad y Mercantiles de España;E05228601 - Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Administración del Estado;Andalucía;Almería;29/11/23
O00002671 - REGISTRO GENERAL DE LA DELEGACIÓN DE ECONOMÍA Y HACIENDA EN CÁDIZ - E/R;EA0028156 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN CÁDIZ - SEDE DE JEREZ DE LA FRONTERA;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Cádiz;16/10/13
O00002671 - REGISTRO GENERAL DE LA DELEGACIÓN DE ECONOMÍA Y HACIENDA EN CÁDIZ - E/R;EA0028150 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN CÁDIZ;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Cádiz;16/10/13
O00002671 - REGISTRO GENERAL DE LA DELEGACIÓN DE ECONOMÍA Y HACIENDA EN CÁDIZ - E/R;EA0028155 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN CÁDIZ - SECRETARIA GENERAL.-. SEDE DE JEREZ DE LA FRONTERA;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Cádiz;16/10/13
O00002671 - REGISTRO GENERAL DE LA DELEGACIÓN DE ECONOMÍA Y HACIENDA EN CÁDIZ - E/R;EA0028154 - DELEGACIÓN PROVINCIAL DE ECONOMIA Y HACIENDA EN CÁDIZ - SECRETARIA GENERAL;E05250001 - Ministerio de Hacienda;E05250001 - Ministerio de Hacienda;Administración del Estado;Andalucía;Cádiz;16/10/13
